,target,feature_4,feature_5,feature_7,feature_11,feature_16,feature_19,feature_25,feature_26
64,0,0.17205593,-0.4264436,-0.04073317,1.0557883,-0.14648612,-0.05492603,-0.69743735,-0.061313238
65,0,-0.38294888,0.1779517,0.88956577,0.17957875,-0.24580964,-1.3054149,1.540336,-1.1635164
66,0,0.100376174,-0.61761296,-1.0888056,1.2525537,-0.9848307,-0.15876862,-1.4802054,0.5470227
67,0,0.51411146,0.22044216,1.2421589,-0.23109427,1.4315742,1.6989512,-0.4575572,0.32442626
68,0,0.33694434,0.2901755,-0.27318898,0.68144614,0.06366541,0.16208147,0.12412988,-1.1959456
69,0,-0.38800997,0.6708874,-0.47553465,0.2897107,0.30565012,0.70793617,0.22453402,-0.534044
70,0,-0.07126765,1.2050276,-0.28786975,1.2706397,-0.28221148,0.17512535,-3.0900154,-0.89516985
71,0,-0.12638414,0.1006349,-0.5390287,-1.0718151,-0.16752577,-0.22413686,-2.589125,0.44741985
72,0,2.7046382,0.07138208,1.435169,-0.46968013,1.3084106,1.4925418,-0.06865636,-1.8669624
73,0,-2.2175288,0.72544307,2.5308356,-0.91076714,-0.29628885,-0.43378043,-0.023083264,-0.53202367
74,0,-1.360071,-0.0006805714,-0.39918327,-1.0238719,-0.3117677,-0.7186984,-0.8889977,-1.3492659
75,0,0.71941185,0.93306,0.15878126,0.01375293,0.3854502,0.50329727,-1.1521556,-0.311075
76,0,-0.67449105,0.9032517,1.209865,-0.1666981,0.41905922,0.6252807,-0.5422344,0.10937595
77,0,1.1191361,1.21014,-0.93388087,0.60853887,0.6990649,0.7018294,0.19637932,-1.4053272
78,0,0.73186886,0.070836574,0.57108265,0.23633899,0.30423218,-0.18893082,0.7672133,-0.43423763
79,0,0.9419054,0.9931946,1.088753,-0.062140837,-0.05960369,0.77403,0.12318813,-0.050192464
80,0,0.25690478,0.79666805,0.29864565,-1.3937712,1.1438558,0.7031941,1.4458301,0.3519888
81,0,0.42785728,0.053619005,0.7164392,0.06836456,0.6799471,0.059334327,1.6109183,-0.2659399
82,0,0.8197674,0.34468925,0.4757562,0.72365993,0.123449795,-0.010038885,0.28828532,-0.3915814
83,0,0.24463741,0.51751953,-0.01800804,-0.98833084,1.2290632,1.2141409,-2.2732167,-0.08069296
84,0,0.34174156,1.1236075,1.1844654,1.5663196,0.59974426,-0.18766971,0.61808044,-1.0278044
85,0,0.9870033,0.01933374,-0.22013092,-0.6222868,0.1251598,0.64253867,0.4875574,-0.48267424
86,0,0.6331635,0.7450901,1.1515262,0.38563114,0.9781076,1.3970069,1.6420054,-0.15272507
87,0,1.2116584,-1.2055019,-0.08666109,-0.12942952,-0.080752224,1.1049833,1.198591,0.1842603
88,1,-0.102027446,0.30938652,-0.7171109,1.1350185,-2.742066,-2.462453,0.171206,-0.39845547
89,0,0.76687497,-0.62076795,-0.5155943,0.0070512607,0.4190862,-0.20448372,-0.07250136,0.11010777
90,0,-0.701049,0.47398764,1.0122882,-0.016200677,0.33364257,0.42566842,0.6081669,-1.4640777
91,0,-1.1449454,-0.12241589,0.29353753,-0.030923478,-1.1854986,-1.0297722,0.87276983,-0.36860338
92,0,1.4208449,0.3135108,0.20610866,-1.1564114,0.030668624,0.29698145,-1.0604519,-0.19312073
93,0,-0.16968876,0.46790442,-0.34943688,1.1500736,-0.40145162,-0.3039746,0.5001799,0.26605672
94,0,-0.22817816,-1.0210075,-0.82413965,-0.05974619,-1.7839916,-0.30330548,-0.1437391,0.4920522
95,0,-0.053135183,0.80108714,-0.29148906,-0.7802748,-0.27762645,0.2761028,-0.46622235,-0.34130162
96,0,0.04355908,1.0769396,0.48487803,-0.74501485,-1.2620481,-0.67213774,1.2971021,-1.2198774
97,0,0.724352,-1.4551005,-0.88895917,-0.6411577,0.17021666,-0.112854265,-0.99251735,0.5558578
98,0,0.08589871,0.219713,-1.0475829,-0.4334089,-1.106174,-0.1232899,0.584137,-0.17108044
99,0,1.5994227,-0.46205658,-0.17483707,-0.6245953,0.07808693,0.79204667,-1.8845186,0.042141147
100,0,0.7505533,1.2440147,0.6959052,-0.47339427,0.5688921,-0.104800574,0.19897664,-0.9367764
101,0,-1.424588,-1.5126591,1.1212502,-0.48971722,-0.76470965,-0.31587923,0.8612338,-1.8643669
102,0,1.8066342,0.50356615,-0.22687799,0.37207288,0.37234956,0.52157354,0.50907,-0.64437103
103,0,0.39775008,-0.42504317,-0.24545656,0.6558096,-0.02445569,-0.043216392,-0.38630584,-1.3829361
104,0,-0.43623224,0.4939381,0.061555482,-0.43664655,0.9207432,0.70532614,-0.27286112,-0.33448482
105,0,-0.85578054,0.92902803,-0.08660237,-0.18533237,-1.2135231,-1.1490757,0.14858317,-0.47723553
